product,crop,factor_low,factor_mid,factor_high,status,basis,source,source_url,notes
Yam roots,Yam,1,1,1,provisional,direct roots,GHS item: Yam roots,NA,Direct yam roots.
Gari - white,Cassava,3.5,4.5,6,provisional,gari to fresh cassava,FAO — cassava processing literature,https://www.fao.org/4/x5458e/x5458e05.htm,Highly variable processing yield.
Gari - yellow,Cassava,3.5,4.5,6,provisional,gari to fresh cassava,FAO — cassava processing literature,https://www.fao.org/4/x5458e/x5458e05.htm,Highly variable processing yield.
Cocoyam,Cocoyam,1,1,1,provisional,direct roots,GHS item: Cocoyam,NA,Direct crop product.
Plantains,Plantain,1,1,1,provisional,direct crop product,GHS item: Plantains,NA,Direct crop product.
Sweet potatoes,Sweet potato,1,1,1,provisional,direct roots,GHS item: Sweet potatoes,NA,Direct crop product.
Potatoes,Potato,1,1,1,provisional,direct roots,GHS item: Potatoes,NA,Direct crop product.
Soya beans,Soybean,1,1,1,provisional,direct grain,GHS item: Soya beans,NA,Direct soybean grain.
Brown beans,Cowpea,1,1,1,provisional,direct dry grain,GHS item: Brown beans,NA,Brown beans treated as cowpea.
White beans,Cowpea,1,1,1,provisional,direct dry grain,GHS item: White beans,NA,White beans treated as cowpea.
Groundnuts - unshelled,Groundnut,0.65,0.7,0.75,research,unshelled to shelled conversion,Nzambani Agrifarms,https://www.google.com/url?sa=i&source=web&rct=j&url=/goto?url%3DCAESzAEB6zswFe6qsuL50Ak61sGftkrGIMYIVr54zPI-HAofFPziIemt0JWX3POqA6VJZW96ySFklK2p4XVkWSAVHSZ6oO9FAeo95RMDDy0_iBcD1aLk_iKWcrQyzK81oIqzylBdQySItDxcfwfXwg1UxGRJaoULSLdQREL6_XRoq7nlct9Q20drUtZIRwj0N7UNr0ljpxMeekGfpsEJTLdQneHM3XiF_1eB1YqamBIua4jWQCwv33x9iyFs-_Tz31NvpqTCAle01rktfq0T7xY&ved=2ahUKEwid88n7oeWWAxWvTDABHTrLBKMQqYcPegoIAggACAAIHhAC&opi=89978449&cd&psig=AOvVaw0jqGOvF_ai0Vgg6rLT2nQP&ust=1789172734614000,Uses shelling/outturn factor.
Groundnuts - shelled,Groundnut,1,1,1,provisional,direct kernel,GHS item: Groundnuts - shelled,NA,Direct groundnut kernel.
Palm oil,Oil palm,NA,NA,NA,research,palm oil to crop conversion,Further literature required,NA,Need to define crop endpoint.
Groundnut oil,Groundnut,NA,NA,NA,research,groundnut oil to crop conversion,Further literature required,NA,Requires oil extraction rate.
Wheat flour,Wheat,1.18,1.32,1.39,provisional,wheat flour extraction,FAO — Cereals,https://www.fao.org/4/X5557E/x5557e04.htm,Wheat flour extraction approximately 72–85%.
Bread,Wheat,NA,NA,NA,research,bread recipe,Further literature required,NA,Requires wheat flour proportion.
Cake,Wheat,NA,NA,NA,research,cake recipe,Further literature required,NA,Requires wheat flour proportion.
Buns/Pofpof/Donuts,Wheat,NA,NA,NA,research,recipe conversion,Further literature required,NA,Requires wheat flour proportion.
Biscuits,Wheat,NA,NA,NA,research,recipe conversion,Further literature required,NA,Requires wheat flour proportion.
Meat pie/Sausage roll,Wheat,NA,NA,NA,research,recipe conversion,Further literature required,NA,Requires wheat flour proportion.
Tomato puree - canned,Tomato,NA,NA,NA,research,tomato puree conversion,Further literature required,NA,Requires tomato solids/yield conversion.
Sugar,Sugar,NA,NA,NA,research,sugar to sugarcane,Further literature required,NA,Requires sugar recovery from sugarcane.
